"balance_transaction_id","created","available_on","currency","gross","fee","net","reporting_category","description"
"txn_3SOroeKnAv1jsaW00mDaw35R","2025-11-02 03:19:33","2025-11-08 16:00:00","hkd","294.80","14.39","280.41","charge",
"txn_3SPo53KnAv1jsaW01j0symxn","2025-11-04 17:31:41","2025-11-11 16:00:00","hkd","981.39","60.25","921.14","charge",
"txn_3SRlrnKnAv1jsaW00kpH4B80","2025-11-10 03:34:28","2025-11-16 16:00:00","hkd","524.22","24.01","500.21","charge",
"txn_3SSC1PKnAv1jsaW01ImErc4Y","2025-11-11 07:30:06","2025-11-17 16:00:00","hkd","982.14","43.25","938.89","charge",
"txn_3SScN4KnAv1jsaW013QBiYpd","2025-11-12 11:38:35","2025-11-18 16:00:00","hkd","98.26","6.13","92.13","charge",
"txn_3SSdYCKnAv1jsaW007o20pT0","2025-11-12 12:53:46","2025-11-18 16:00:00","hkd","524.21","24.01","500.20","charge",
"txn_3SSyrFKnAv1jsaW00rhRYhss","2025-11-13 11:41:35","2025-11-19 16:00:00","hkd","525.57","24.07","501.50","charge",
"txn_3ST0N5KnAv1jsaW00ij18wF5","2025-11-13 13:16:15","2025-11-19 16:00:00","hkd","525.62","24.07","501.55","charge",
"txn_3STDlBKnAv1jsaW0190y5V8s","2025-11-14 03:33:59","2025-11-20 16:00:00","hkd","4.38","2.59","1.79","charge",
"txn_1SULkhKnAv1jsaW0sToYvP8U","2025-11-17 06:17:27","2025-11-19 16:00:00","hkd","-525.19","10.50","-535.69","refund","REFUND FOR PAYMENT"
"txn_3SV4tqKnAv1jsaW00yyJ5sMv","2025-11-19 06:31:46","2025-11-25 16:00:00","hkd","4558.36","271.30","4287.06","charge",
"txn_3SWgjGKnAv1jsaW005XEY6EC","2025-11-23 17:06:03","2025-11-30 16:00:00","hkd","1182.39","51.66","1130.73","charge",
"txn_3SWrXmKnAv1jsaW00cTao7TE","2025-11-24 04:38:50","2025-11-30 16:00:00","hkd","525.69","24.08","501.61","charge",
"txn_3SXh31KnAv1jsaW00mKpbsqA","2025-11-26 11:38:15","2025-12-02 16:00:00","hkd","513.41","32.64","480.77","charge",
"txn_3SXi0XKnAv1jsaW01CpxQgDe","2025-11-26 12:40:18","2025-12-02 16:00:00","hkd","988.72","43.52","945.20","charge",
"txn_3SYTiZKnAv1jsaW0171iSUaL","2025-11-28 15:39:28","2025-12-04 16:00:00","hkd","990.05","55.81","934.24","charge",
"txn_3SYTsSKnAv1jsaW009R63wXR","2025-11-28 15:47:47","2025-12-04 16:00:00","hkd","990.05","43.58","946.47","charge",
"txn_3SYkGdKnAv1jsaW01Xx3fAp0","2025-11-29 09:16:52","2025-12-05 16:00:00","hkd","990.34","43.60","946.74","charge",
