"id","Type","Source","Amount","Fee","Destination Platform Fee","Destination Platform Fee Currency","Net","Currency","Created (UTC)","Available On (UTC)","Description","Customer Facing Amount","Customer Facing Currency","Transfer","Transfer Date (UTC)","Transfer Group","userID (metadata)","site (metadata)","plan_days (metadata)","stripe_user (metadata)","stripe_plan (metadata)"
"txn_1Rh4m9HOMTu9eLVojBF0ysYC","payout_failure","po_1RgT5fHOMTu9eLVo4t8i1MKO","1427.61","0.00",,,"1427.61","hkd","2025-07-04 08:15","2025-07-04 08:15","REFUND FOR PAYOUT (STRIPE PAYOUT)",,,,,,,,,,
"txn_1RgT5fHOMTu9eLVodx1Zd11X","payout","po_1RgT5fHOMTu9eLVo4t8i1MKO","-1427.61","0.00",,,"-1427.61","hkd","2025-07-02 16:00","2025-07-03 16:00","STRIPE PAYOUT",,,"po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,,,,,
"txn_3RE9VJHOMTu9eLVo1PXfYYQd","charge","ch_3RE9VJHOMTu9eLVo1EWcOexy","93.52","6.00",,"hkd","87.52","hkd","2025-04-15 13:26","2025-04-21 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"473","Blender Studio CN","30",,"M1"
"txn_3R5PlgHOMTu9eLVo1vp4u4BM","payment","py_3R5PlgHOMTu9eLVo1gkHrjGV","94.57","4.08",,,"90.49","hkd","2025-03-22 10:59","2025-03-28 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"485","Blender Studio CN","30",,"M1"
"txn_3R4hH0HOMTu9eLVo0cJwkib6","payment","py_3R4hH0HOMTu9eLVo04SOvgY3","94.64","4.08",,,"90.56","hkd","2025-03-20 11:29","2025-03-26 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"480","Blender Studio CN","30",,"M1"
"txn_3R3GwzHOMTu9eLVo17ewSJg1","payment","py_3R3GwzHOMTu9eLVo1t1gCfEQ","94.76","4.08",,,"90.68","hkd","2025-03-16 13:10","2025-03-22 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"473","Blender Studio CN","30",,"M1"
"txn_3QznNFHOMTu9eLVo0ddpd5MK","charge","ch_3QznNFHOMTu9eLVo05Jvy5Qa","94.57","6.04",,"hkd","88.53","hkd","2025-03-06 22:58","2025-03-13 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"406","Blender Studio CN","30",,"M1"
"txn_3QuPauHOMTu9eLVo1OVNlI2a","charge","ch_3QuPauHOMTu9eLVo1J7MTGXo","94.21","6.02",,"hkd","88.19","hkd","2025-02-20 02:35","2025-02-26 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"406","Blender Studio CN","30",,"M1"
"txn_3QjBj9HOMTu9eLVo0t0W3w4n","charge","ch_3QjBj9HOMTu9eLVo0KMTsy0W","93.84","6.01",,"hkd","87.83","hkd","2025-01-20 03:33","2025-01-26 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"406","Blender Studio CN","30",,"M1"
"txn_3Qe6GnHOMTu9eLVo1WhrUc10","payment","py_3Qe6GnHOMTu9eLVo1YsBlGws","93.64","4.06",,,"89.58","hkd","2025-01-06 02:43","2025-01-12 16:00",,"90.00","cny","po_1RgT5fHOMTu9eLVo4t8i1MKO","2025-07-04 00:00",,"397","Blender Studio CN","30",,"M1"
